Route - ID, Order Number, Driver 1 - ID, Driver 1 - First Name, Driver 1 - Last Name, Service Location - ID, Service Location - Description, Service Location - Address Line 1, Service Location - City, Service Location - Postal Code, Service Location - State, Service Location - Contact - First Name, Service Location - County, Latitude, Longitude, Session Date, Begin Date, Taken By, Pickup Quantities - Taps, Pickup Quantities - J&L Taps, Stop - Arrival Time, Stop - Departure Time, Special Instructions, Pickup Quantities - WWH Taps
ST007-08_B044,4021895_B044_2020-02-26,B044,Anthony,Brown SB,3131,2M - Levis - 300 Kezar - Day 8 (Santa Clara/Marie P Debartolo),4900 Marie P Debartolo Way,Santa Clara,95054,CA,CA04,South Bay,37403716,-121968493,2020-02-20,2020-02-26,DY08,6,0,2020-02-26 08:00:00,2020-02-26 09:04:00,,0
ST007-08_B044,4021902_B044_2020-02-26,B044,Anthony,Brown SB,3137,2M - Levis - 700 North Bar - Day 8 (Santa Clara/Marie P Debartolo),4900 Marie P Debartolo Way,Santa Clara,95054,CA,CA04,South Bay,37403716,-121968493,2020-02-20,2020-02-26,DY08,6,0,2020-02-26 09:04:00,2020-02-26 10:47:00,,0
ST007-08_B044,4021906_B044_2020-02-26,B044,Anthony,Brown SB,3138,2M - Levis - Candlestick Pub - Day 8 (Santa Clara/Marie P Debartolo),4900 Marie P Debartolo Way,Santa Clara,95054,CA,CA04,South Bay,37403716,-121968493,2020-02-20,2020-02-26,DY08,6,0,2020-02-26 10:47:00,2020-02-26 12:04:00,,0
ST007-08_B044,4021910_B044_2020-02-26,B044,Anthony,Brown SB,3144,2M - Levis - Outside Carts Level 3 - Day 8 (Santa Clara/Marie P Debartolo),4900 Marie P Debartolo Way,Santa Clara,95054,CA,CA04,South Bay,37403716,-121968493,2020-02-20,2020-02-26,DY08,6,0,2020-02-26 12:04:00,2020-02-26 13:08:00,,0
ST007-08_B044,4021912_B044_2020-02-26,B044,Anthony,Brown SB,3145,2M - Levis - Outside Carts Level 7 - Day 8 (Santa Clara/Marie P Debartolo),4900 Marie P Debartolo Way,Santa Clara,95054,CA,CA04,South Bay,37403716,-121968493,2020-02-20,2020-02-26,DY08,6,0,2020-02-26 13:08:00,2020-02-26 14:38:00,,0
ST007-09_B044,4021920_B044_2020-02-27,B044,Anthony,Brown SB,3134,2M - Levis - 501 Club/Stand - Day 9 (Santa Clara/Marie P Debartolo),4900 Marie P Debartolo Way,Santa Clara,95054,CA,CA04,South Bay,37403716,-121968493,2020-02-20,2020-02-27,DY09,6,0,2020-02-27 08:00:00,2020-02-27 15:39:00,,0
ST007-09_B044,4021926_B044_2020-02-27,B044,Anthony,Brown SB,3140,2M - Levis - Concourse Tap Room - Day 9 (Santa Clara/Marie P Debartolo),4900 Marie P Debartolo Way,Santa Clara,95054,CA,CA04,South Bay,37403716,-121968493,2020-02-20,2020-02-27,DY09,6,0,2020-02-27 15:39:00,2020-02-27 19:39:00,,0
ST007-10_B044,4021940_B044_2020-02-28,B044,Anthony,Brown SB,3146,2M - Levis - Owners Club 500 - Day 10 (Santa Clara/Marie P Debartolo),4900 Marie P Debartolo Way,Santa Clara,95054,CA,CA04,South Bay,37403716,-121968493,2020-02-20,2020-02-28,DY10,6,0,2020-02-28 08:00:00,2020-02-28 10:00:00,,0
ST007-10_B044,13517_B044_2020-02-28,B044,Anthony,Brown SB,3139,2M - Levis - Citrix Club North - Day 10 (Santa Clara/Marie P Debartolo),4900 Marie P Debartolo Way,Santa Clara,95054,CA,CA04,South Bay,37403716,-121968493,2020-02-20,2020-02-28,DY10,6,0,2020-02-28 10:00:00,2020-02-28 12:00:00,,0
ST007-10_B044,5704373_B044_2020-02-28,B044,Anthony,Brown SB,1117188,Blaze Pizza (San Jose/Coleman),685 Coleman Ave,San Jose,95110,CA,CA01,South Bay,37341749,-121910478,2020-02-20,2020-02-28,,2,0,2020-02-28 12:15:58,2020-02-28 13:01:06,"Access after 9am, avoid lunch",0
ST007-10_B044,13512_B044_2020-02-28,B044,Anthony,Brown SB,3135,2M - Levis - 700 Bud Lt Patio - Day 10 (Santa Clara/Marie P Debartolo),4900 Marie P Debartolo Way,Santa Clara,95054,CA,CA04,South Bay,37403716,-121968493,2020-02-20,2020-02-28,DY10,6,0,2020-02-28 13:20:47,2020-02-28 15:20:47,,0
ST007-10_B044,13513_B044_2020-02-28,B044,Anthony,Brown SB,3136,2M - Levis - 700 Concession - Day 10 (Santa Clara/Marie P Debartolo),4900 Marie P Debartolo Way,Santa Clara,95054,CA,CA04,South Bay,37403716,-121968493,2020-02-20,2020-02-28,DY10,6,0,2020-02-28 15:20:47,2020-02-28 17:20:47,,0
ST008-01_D0003,3348750_D0003_2020-03-02,D0003,Juan,Duarte SC,1229,Pizza My Heart (Santa Cruz/Pacific),1116 Pacific Ave,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36972310,-122025660,2020-02-20,2020-02-17,,2,0,2020-03-02 06:55:00,2020-03-02 08:16:00,Access at 6AM Do not service Santa Cruz Mtn this cycle,0
ST008-01_D0003,3403873_D0003_2020-03-02,D0003,Juan,Duarte SC,1325,El Palomar (Santa Cruz/Pacific),1336 Pacific Ave.,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36974190,-122026260,2020-02-20,2020-02-17,,2,0,2020-03-02 08:21:32,2020-03-02 09:42:32,,0
ST008-01_D0003,1717434_D0003_2020-03-02,D0003,Juan,Duarte SC,1026952,Front & Cooper (Santa Cruz/Front),725 Front Street,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36974670,-122025280,2020-02-20,2020-02-17,,2,0,2020-03-02 09:48:07,2020-03-02 10:48:07,,0
ST008-01_D0003,3354072_D0003_2020-03-02,D0003,Juan,Duarte SC,1235,Woodstocks Pizza (Santa Cruz/Front),710 Front St,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36974850,-122024880,2020-02-20,2020-02-17,,2,0,2020-03-02 10:53:16,2020-03-02 12:21:16,9am-11am access,0
ST008-01_D0003,3348775_D0003_2020-03-02,D0003,Juan,Duarte SC,1259,Kianti's Pizza & Pasta Bar (Santa Cruz/Pacific),1100 Pacific Ave,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36971900,-122025410,2020-02-20,2020-02-17,,2,0,2020-03-02 12:27:39,2020-03-02 13:16:39,,0
ST008-01_D0003,3354080_D0003_2020-03-02,D0003,Juan,Duarte SC,1228,Bantam (Santa Cruz/Fair),1010 Fair Ave,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36959010,-122045280,2020-02-20,2020-02-17,,2,0,2020-03-02 13:28:36,2020-03-02 13:52:36,Access before 12PM,0
ST008-01_D0003,5428358_D0003_2020-03-02,D0003,Juan,Duarte SC,1112335,Over the Hill Gang Saloon (Santa Cruz/Portola),3530 Portola Dr,Santa Cruz,95062,CA,CA12,Monterey/Santa Cruz,36963120,-121969980,2020-02-20,2019-12-23,,2,0,2020-03-02 14:11:31,2020-03-02 14:56:43,Access anytime from 12pm-3:30pm,0
ST008-02_D0003,3353810_D0003_2020-03-03,D0003,Juan,Duarte SC,1046,2M - Bull and Bear (Monterey/Alvarado),479 Alvarado St,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36598190,-121894880,2020-02-20,2020-02-18,,2,0,2020-03-03 04:00:00,2020-03-03 06:45:00,Access at 5AM,0
ST008-02_D0003,4902662_D0003_2020-03-03,D0003,Juan,Duarte SC,11345,Dust Bowl Brewing Co (Monterey/Figueroa),290 Figueroa St.,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36601130,-121889971,2020-02-20,2020-03-03,,2,0,2020-03-03 06:51:39,2020-03-03 08:51:39,"Mon-Tue at 9am by calling Jay the day before, make sure everything is untapped or solution will transfer into beer keg Jay 831-297-2711",0
ST008-02_D0003,3502509_D0003_2020-03-03,D0003,Juan,Duarte SC,1104,2M - Marriott (Monterey/Calle Principal),350 Calle Principal,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36600200,-121895520,2020-02-20,2020-03-03,,2,0,2020-03-03 08:59:11,2020-03-03 10:13:11,"access before 2pm, no access Tue or Fri",0
ST008-02_D0003,2331745_D0003_2020-03-17,D0003,Juan,Duarte SC,1060,2M - Buffalo Wild Wings (Seaside/Fremont),1553 Fremont Blvd,Seaside,93955,CA,CA12,Monterey/Santa Cruz,36608590,-121846260,2020-02-20,2020-03-17,,8,0,2020-03-03 10:27:42,2020-03-03 12:42:42,Please collect email,0
ST008-02_Z0001,3353810_Z0001_2020-03-03,Z0001,Manuel,Zamudio SC,1046,2M - Bull and Bear (Monterey/Alvarado),479 Alvarado St,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36598190,-121894880,2020-02-20,2020-02-18,,2,0,2020-03-03 04:00:00,2020-03-03 06:45:00,Access at 5AM,0
ST008-02_Z0001,4902662_Z0001_2020-03-03,Z0001,Manuel,Zamudio SC,11345,Dust Bowl Brewing Co (Monterey/Figueroa),290 Figueroa St.,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36601130,-121889971,2020-02-20,2020-03-03,,2,0,2020-03-03 06:51:39,2020-03-03 08:51:39,"Mon-Tue at 9am by calling Jay the day before, make sure everything is untapped or solution will transfer into beer keg Jay 831-297-2711",0
ST008-02_Z0001,3502509_Z0001_2020-03-03,Z0001,Manuel,Zamudio SC,1104,2M - Marriott (Monterey/Calle Principal),350 Calle Principal,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36600200,-121895520,2020-02-20,2020-03-03,,2,0,2020-03-03 08:59:11,2020-03-03 10:13:11,"access before 2pm, no access Tue or Fri",0
ST008-02_Z0001,2331745_Z0001_2020-03-17,Z0001,Manuel,Zamudio SC,1060,2M - Buffalo Wild Wings (Seaside/Fremont),1553 Fremont Blvd,Seaside,93955,CA,CA12,Monterey/Santa Cruz,36608590,-121846260,2020-02-20,2020-03-17,,8,0,2020-03-03 10:27:42,2020-03-03 12:42:42,Please collect email,0
ST008-03_D0003,3508713_D0003_2020-03-04,D0003,Juan,Duarte SC,1000,2M - Hyatt Regency (Monterey/Old Golf Course),1 Old Golf Course Road,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36591670,-121877820,2020-02-20,2019-12-11,,4,0,2020-03-04 08:00:00,2020-03-04 11:01:00,,0
ST008-03_D0003,3403679_D0003_2020-03-04,D0003,Juan,Duarte SC,1146,Louie Linguinis Seafood (Monterey/Cannery Row),660 Cannery Row,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36615750,-121900070,2020-02-20,2020-02-19,,2,0,2020-03-04 11:13:21,2020-03-04 12:16:21,,0
ST008-03_D0003,3384362_D0003_2020-03-04,D0003,Juan,Duarte SC,1122,Del Monte Golf Grill (Monterey/Sylvan),1300 Sylvan Road,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36592498,-121871612,2020-02-20,2020-02-19,,2,0,2020-03-04 12:31:24,2020-03-04 13:22:24,,0
ST008-03_D0003,3814676_D0003_2020-03-04,D0003,Juan,Duarte SC,994,Britannia Arms (Monterey/Alvarado),444 Alvarado St,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36598990,-121894780,2020-02-20,2020-02-19,,2,0,2020-03-04 13:33:12,2020-03-04 15:47:12,"Please arrive at 9am Gabriel 831-887-8479 Wed access is 7am-10am only, rest of the week 9am-10am access",0
ST008-03_D0003,3353846_D0003_2020-03-04,D0003,Juan,Duarte SC,1107,American Legion (Monterey/Johnson),1089 Johnson St,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36600298,-121906434,2020-02-20,2020-02-19,,2,0,2020-03-04 15:55:18,2020-03-04 16:34:18,Closed Thur,0
ST008-03_D0003,3348613_D0003_2020-03-04,D0003,Juan,Duarte SC,1168,Vivolos Chowder House (Pacific Grove/Central),127 Central Ave,Pacific Grove,93950,CA,CA12,Monterey/Santa Cruz,36617820,-121905780,2020-02-20,2020-02-19,,2,0,2020-03-04 16:44:44,2020-03-04 17:01:44,done before they open which is 11:30am,0
ST008-03_D0003,3353787_D0003_2020-03-04,D0003,Juan,Duarte SC,7948,Elks Lodge (Monterey/Mar Vista),150 Mar Vista Dr.,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36583160,-121905570,2020-02-20,2020-02-19,,2,0,2020-03-04 17:17:01,2020-03-04 17:50:01,Access between 8AM - 11AM,0
ST008-03_D0003,3300973_D0003_2020-03-04,D0003,Juan,Duarte SC,1106,Ambrosia India Bistro (Monterey/Abrego),565 Abrego St,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36597120,-121892170,2020-02-20,2020-02-19,,2,0,2020-03-04 17:59:38,2020-03-04 18:21:38,,0
ST008-03_D0003,7458_D0003_2020-03-04,D0003,Juan,Duarte SC,1222,Laguna Seca Golf Ranch (Monterey/York),10520 York Rd,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36574336,-121788545,2020-02-20,2020-02-19,,2,0,2020-03-04 18:46:33,2020-03-04 19:16:33,,0
ST008-03_D0003,3300980_D0003_2020-03-18,D0003,Juan,Duarte SC,1124,Monterey Pines Golf Course (Monterey/Garden Rd),1250 Garden Rd,Monterey,93943,CA,CA12,Monterey/Santa Cruz,36597490,-121869150,2020-02-20,2020-02-19,,4,0,2020-03-04 19:34:18,2020-03-04 20:09:18,,0
ST008-04_D0003,3398263_D0003_2020-02-20,D0003,Juan,Duarte SC,1014,Lalla Grill (Monterey/Del Monte),1400 Del Monte Ctr,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36583300,-121895010,2020-02-20,2020-02-06,,2,0,2020-02-20 05:00:00,2020-02-20 06:13:00,Do not service English Ales at this location access 5am-11am,0
ST008-04_D0003,3353839_D0003_2020-02-20,D0003,Juan,Duarte SC,1013,Islands Fine Burgers & Drinks (Monterey/Del Monte Center),300 Del Monte Center,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36583620,-121898430,2020-02-20,2020-02-06,,2,0,2020-02-20 06:18:46,2020-02-20 07:55:46,access 7-11am only,0
ST008-04_D0003,3353845_D0003_2020-02-20,D0003,Juan,Duarte SC,13386,California Pizza Kitchen (Monterey/Del Monte),1100 Del Monte Center,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36585070,-121898860,2020-02-20,2020-02-06,,2,0,2020-02-20 08:01:21,2020-02-20 09:03:21,"Access 7am-11am. Avoid hot solution, Rinse with Ice Water.",0
ST008-04_D0003,3353783_D0003_2020-02-20,D0003,Juan,Duarte SC,1087,Sapporo Japanesse Steakhouse (Monterey/Fishermans Wharf),2 Fishermans Wharf,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36603666,-121893391,2020-02-20,2020-02-06,,2,0,2020-02-20 09:13:46,2020-02-20 10:06:46,5pm at restaurant (831)333-1616 1/23/2020 11:28:03 AM Access 9am-11:30am,0
ST008-04_D0003,3353816_D0003_2020-02-20,D0003,Juan,Duarte SC,1110,Easy Street Billiards (Monterey/Tyler),511 Tyler St,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36597400,-121894080,2020-02-20,2020-02-06,,2,0,2020-02-20 10:14:32,2020-02-20 11:08:32,access 11am-1pm,0
ST008-04_D0003,3348615_D0003_2020-02-20,D0003,Juan,Duarte SC,1031634,Classic Catering (Monterey/Van Buren),201 Van Buren Street,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36603304,-121896413,2020-02-20,2020-02-06,,2,0,2020-02-20 11:15:44,2020-02-20 11:44:44,"Random access times, but usually available after 12pm",0
ST008-05_D0003,3296240_D0003_2020-02-21,D0003,Juan,Duarte SC,8385,Gusto Pizzeria (Seaside/Fremont),1901 Fremont Blvd,Seaside,93955,CA,CA12,Monterey/Santa Cruz,36616850,-121841805,2020-02-20,2020-02-07,,2,0,2020-02-21 07:15:00,2020-02-21 08:00:00,No Service Allowed unless a manager or supervisor is onsite. Access 2:30-6am or 10am-11am,0
ST008-05_D0003,3300962_D0003_2020-02-21,D0003,Juan,Duarte SC,1066,Round Table (Seaside/Fremont),1717 Fremont Blvd,Seaside,93955,CA,CA12,Monterey/Santa Cruz,36611960,-121844770,2020-02-20,2020-02-21,,2,0,2020-02-21 08:06:17,2020-02-21 08:59:17,Call Marco when onsite 831-710-2399 access 7-11am,0
ST008-05_D0003,3348610_D0003_2020-02-21,D0003,Juan,Duarte SC,1329,2M - Coopers Pub and Restaurant (Monterey/Cannery Row),653 Cannery Row,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36615420,-121899790,2020-02-20,2020-02-21,,2,0,2020-02-21 09:15:31,2020-02-21 10:10:31,Can only access T and F Do not clean London Bridge Check in and out with John at the beginning and end of service. 9am only MUST rinse with ice water Please call/Txt John the day before 831-277-3369,0
ST008-05_D0003,3353771_D0003_2020-02-21,D0003,Juan,Duarte SC,1084,El Torito #162 (Monterey/Cannery),600 Cannery Row,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36615010,-121898560,2020-02-20,2020-02-21,,2,0,2020-02-21 10:16:07,2020-02-21 11:10:07,access at 7am-10:30am,0
ST008-05_D0003,3296245_D0003_2020-02-21,D0003,Juan,Duarte SC,1027206,The Breakfast Club (Seaside/Fremont Boulevard),1130 Fremont Boulevard 210,Seaside,93955,CA,CA12,Monterey/Santa Cruz,36600692,-121848944,2020-02-20,2020-02-21,,2,0,2020-02-21 11:28:24,2020-02-21 11:58:24,Access from service door,0
ST008-05_D0003,3353725_D0003_2020-02-21,D0003,Juan,Duarte SC,9110,Melville Tavern (Monterey/Washington),484 Washington St,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36598170,-121893150,2020-02-20,2020-02-21,,2,0,2020-02-21 12:10:52,2020-02-21 12:48:52,access  9-11am,0
ST008-05_D0003,3353727_D0003_2020-02-21,D0003,Juan,Duarte SC,1097,Turn 12 Bar & Grill (Monterey/Tyler),400 Tyler St,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36599560,-121893510,2020-02-20,2020-02-21,,2,0,2020-02-21 12:54:28,2020-02-21 13:57:28,"Access between 9AM - 11:30AM, must be completed by 11:30AM",0
ST008-05_D0003,3300984_D0003_2020-02-21,D0003,Juan,Duarte SC,1016800,The Turf Club (Monterey/Fairground),2004 Fairground Road,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36594130,-121866100,2020-02-20,2020-02-21,,2,0,2020-02-21 14:08:39,2020-02-21 14:49:39,,0
ST008-05_D0003,3358959_D0003_2020-02-21,D0003,Juan,Duarte SC,993,Tarpey's Road House (Monterey/Monterey Salinas),2999 Monterey Salinas Hwy,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36582460,-121829760,2020-02-20,2020-02-21,,2,0,2020-02-21 14:59:30,2020-02-21 15:17:30,service might be allowed during business hours if not too busy access 8-11:30a only,0
ST008-05_D0003,3403757_D0003_2020-02-21,D0003,Juan,Duarte SC,1220,Monterey Cookhouse (Monterey/N Fremont),2149 N Fremont St,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36596860,-121860440,2020-02-20,2020-02-21,,2,0,2020-02-21 15:28:18,2020-02-21 16:03:18,Open until 4pm Monday,0
ST008-05_Z0001,3348610_Z0001_2020-02-21,Z0001,Manuel,Zamudio SC,1329,2M - Coopers Pub and Restaurant (Monterey/Cannery Row),653 Cannery Row,Monterey,93940,CA,CA12,Monterey/Santa Cruz,36615420,-121899790,2020-02-20,2020-02-21,,2,0,2020-02-21 09:00:00,2020-02-21 09:55:00,Can only access T and F Do not clean London Bridge Check in and out with John at the beginning and end of service. 9am only MUST rinse with ice water Please call/Txt John the day before 831-277-3369,0
ST008-06_D0003,3355768_D0003_2020-02-24,D0003,Juan,Duarte SC,6487,Arigato Sushi (Salinas/North Main),1740 North Main Street,Salinas,93906,CA,CA12,Monterey/Santa Cruz,36717000,-121654030,2020-02-20,2020-02-24,,2,0,2020-02-24 05:40:00,2020-02-24 05:56:00,Clean and bill Sapporo at this location,0
ST008-06_D0003,3306436_D0003_2020-02-24,D0003,Juan,Duarte SC,1180,Applebees (Salinas/N Davis),1301 N Davis Rd,Salinas,93907,CA,CA12,Monterey/Santa Cruz,36702320,-121667410,2020-02-20,2020-02-24,,2,0,2020-02-24 06:07:04,2020-02-24 07:28:04,Access at 7AM,0
ST008-06_D0003,3306282_D0003_2020-02-24,D0003,Juan,Duarte SC,1019274,Gordon's Cafe and Catering (Salinas/Main),343 Main St,Salinas,93901,CA,CA12,Monterey/Santa Cruz,36672770,-121654190,2020-02-20,2020-02-24,,2,0,2020-02-24 07:42:07,2020-02-24 08:07:07,closes at 3:30pm,0
ST008-06_D0003,3306300_D0003_2020-02-24,D0003,Juan,Duarte SC,937,Kokoro Sushi (Salinas/W Gabilan),36 W Gabilan St,Salinas,93901,CA,CA12,Monterey/Santa Cruz,36675610,-121656920,2020-02-20,2020-02-24,,2,0,2020-02-24 08:13:51,2020-02-24 08:26:51,Access from rear entrance Clean and bill Sapporo at this location,0
ST008-06_D0003,3306350_D0003_2020-02-24,D0003,Juan,Duarte SC,1055356,Boardwalk Sub Shop (Salinas/S Main),1220 S Main St,Salinas,93901,CA,CA12,Monterey/Santa Cruz,36657340,-121659950,2020-02-20,2019-09-09,,2,0,2020-02-24 08:37:28,2020-02-24 08:58:28,,0
ST008-06_D0003,3355748_D0003_2020-02-24,D0003,Juan,Duarte SC,958,Chuck E Cheese (Salinas/N Davis),1447 N Davis Rd,Salinas,93907,CA,CA12,Monterey/Santa Cruz,36707670,-121667080,2020-02-20,2020-02-10,,2,0,2020-02-24 09:14:09,2020-02-24 09:44:09,,0
ST008-06_D0003,3355780_D0003_2020-02-24,D0003,Juan,Duarte SC,1033630,Mod Pizza (Salinas/N Main),1816 N Main Street Suite A,Salinas,93906,CA,CA12,Monterey/Santa Cruz,36719030,-121651010,2020-02-20,2020-02-24,,2,0,2020-02-24 09:53:11,2020-02-24 10:20:11,possible access after noon,0
ST008-06_D0003,3306465_D0003_2020-02-24,D0003,Juan,Duarte SC,13904,Fujiyama (Salinas/N Davis),1000 N. Davis Rd,Salinas,93907,CA,CA12,Monterey/Santa Cruz,36694840,-121668000,2020-02-20,2020-02-10,,2,0,2020-02-24 10:31:38,2020-02-24 10:46:38,Clean and bill Sapporo at this location,0
ST008-06_D0003,3306460_D0003_2020-02-24,D0003,Juan,Duarte SC,1224,Outback Steakhouse (Salinas/N Davis),1401 N Davis Rd,Salinas,93907,CA,CA12,Monterey/Santa Cruz,36706340,-121666680,2020-02-20,2020-02-24,,2,0,2020-02-24 10:53:39,2020-02-24 12:20:39,"Avoid running hot solution, also lines must be rinsed with I've water because beer will come out foamy for hours NEW HOURS! Access time is 12-3pm starting 5/13/19",0
ST008-06_D0003,5455080_D0003_2020-03-09,D0003,Juan,Duarte SC,1179,2M - Buffalo Wild Wings (Salinas/N Main),1988 N Main St,Salinas,93906,CA,CA12,Monterey/Santa Cruz,36721040,-121655600,2020-02-20,2020-03-09,Faucets & Couplers,8,0,2020-02-24 12:28:57,2020-02-24 14:08:57,Please clean faucets and couplers only,0
ST008-06_E0002,5455080_E0002_2020-03-09,E0002,Samuel,Edeza SC,1179,2M - Buffalo Wild Wings (Salinas/N Main),1988 N Main St,Salinas,93906,CA,CA12,Monterey/Santa Cruz,36721040,-121655600,2020-02-20,2020-03-09,Faucets & Couplers,8,0,2020-03-09 08:00:00,2020-03-09 09:40:00,Please clean faucets and couplers only,0
ST008-07_D0003,3306336_D0003_2020-02-25,D0003,Juan,Duarte SC,932,Elli's Great American Restaurant (Salinas/S Main),1250 S Main St,Salinas,93901,CA,CA12,Monterey/Santa Cruz,36656550,-121660400,2020-02-20,2020-02-25,,2,0,2020-02-25 06:15:00,2020-02-25 08:03:00,,0
ST008-07_D0003,3306339_D0003_2020-02-25,D0003,Juan,Duarte SC,933,Gino's Fine Italian Food (Salinas/S Main),1410 S Main St,Salinas,93908,CA,CA12,Monterey/Santa Cruz,36653500,-121661270,2020-02-20,2020-02-25,,2,0,2020-02-25 08:08:25,2020-02-25 08:49:25,"Access 8am, service before open.",0
ST008-07_D0003,3306379_D0003_2020-02-25,D0003,Juan,Duarte SC,935,Round Table (Salinas/S Main),1160 S Main St,Salinas,93901,CA,CA12,Monterey/Santa Cruz,36658680,-121660920,2020-02-20,2020-02-25,,2,0,2020-02-25 08:57:12,2020-02-25 09:50:12,,0
ST008-07_D0003,3306371_D0003_2020-02-25,D0003,Juan,Duarte SC,934,Smalleys RoundUp (Salinas/S Main),1190 S Main St,Salinas,93901,CA,CA12,Monterey/Santa Cruz,36658200,-121659930,2020-02-20,2020-02-25,,2,0,2020-02-25 09:55:34,2020-02-25 10:19:34,10am-11am or after 3pm,0
ST008-07_D0003,3306397_D0003_2020-02-25,D0003,Juan,Duarte SC,936,Pizza Factory (Salinas/S Main),926 S Main St,Salinas,93901,CA,CA12,Monterey/Santa Cruz,36663510,-121657920,2020-02-20,2020-02-25,,2,0,2020-02-25 10:26:30,2020-02-25 11:23:30,can be done during lunch hours if needed preferably not,0
ST008-07_D0003,3306384_D0003_2020-02-25,D0003,Juan,Duarte SC,7511,Ginger Thai (Salinas/S Main),1104 S Main St.,Salinas,93901,CA,CA12,Monterey/Santa Cruz,36660470,-121658750,2020-02-20,2020-02-25,,2,0,2020-02-25 11:29:21,2020-02-25 11:53:21,,0
ST008-07_D0003,3306389_D0003_2020-02-25,D0003,Juan,Duarte SC,1186,Valley Center Bowl (Salinas/S Main),1081 S Main St,Salinas,93901,CA,CA12,Monterey/Santa Cruz,36660580,-121658030,2020-02-20,2020-02-25,,2,0,2020-02-25 11:58:26,2020-02-25 12:36:26,,0
ST008-07_D0003,3306205_D0003_2020-02-25,D0003,Juan,Duarte SC,6291,Giorgio's at 201 Main (Salinas/Main),201 Main St.,Salinas,93901,CA,CA12,Monterey/Santa Cruz,36675450,-121655120,2020-02-20,2020-02-25,,2,0,2020-02-25 12:46:22,2020-02-25 14:22:22,,0
ST008-08_D0003,3403211_D0003_2020-02-26,D0003,Juan,Duarte SC,1237,Laili Restaurant (Santa Cruz/Cooper),101 Cooper St,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36975230,-122026200,2020-02-20,2020-02-12,,2,0,2020-02-26 06:35:00,2020-02-26 06:57:00,,0
ST008-08_D0003,4992297_D0003_2020-02-26,D0003,Juan,Duarte SC,8057,Kind Brewery (Santa Cruz/Front),429 Front Street #A,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36970927,-122024172,2020-02-20,2020-02-26,,4,0,2020-02-26 07:03:38,2020-02-26 10:03:38,"Clean lines, couplers and faucets this cycle",0
ST008-08_D0003,4918333_D0003_2020-02-26,D0003,Juan,Duarte SC,1102474,Monster Pot (Santa Cruz/Front),431 Front Street,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36970951,-122024176,2020-02-20,2020-02-12,,2,0,2020-02-26 10:03:39,2020-02-26 10:37:39,Clean and bill Sapporo at this location preferably in the mornings,0
ST008-08_D0003,3359075_D0003_2020-02-26,D0003,Juan,Duarte SC,1027214,La Madrona Athletic Club (Santa Cruz/La Madrona),1897 La Madrona Drive,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,37020825,-122028809,2020-02-20,2020-02-12,,2,0,2020-02-26 10:51:51,2020-02-26 11:17:51,,0
ST008-08_D0003,3354068_D0003_2020-02-26,D0003,Juan,Duarte SC,15643,Cafe Iveta (Santa Cruz/High Street),1156 High Street,Santa Cruz,95060,CA,CA12,Monterey/Santa Cruz,36977278,-122050814,2020-02-20,2020-02-12,,2,0,2020-02-26 11:37:15,2020-02-26 12:01:15,preferably around opening time,0
